Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Solar Zenith Angle,Latitude,Longitude,Location ID,Elevation,Local Time Zone
2022,1,1,0,30,0,0,0,96.3,33.37,-104.54,496052,1101,-7
2022,1,1,1,30,0,0,0,108.08,33.37,-104.54,496052,1101,-7
2022,1,1,2,30,0,0,0,120.29,33.37,-104.54,496052,1101,-7
2022,1,1,3,30,0,0,0,132.75,33.37,-104.54,496052,1101,-7
2022,1,1,4,30,0,0,0,145.24,33.37,-104.54,496052,1101,-7
2022,1,1,5,30,0,0,0,157.38,33.37,-104.54,496052,1101,-7
2022,1,1,6,30,0,0,0,167.52,33.37,-104.54,496052,1101,-7
2022,1,1,7,30,0,0,0,167.91,33.37,-104.54,496052,1101,-7
2022,1,1,8,30,0,0,0,158.01,33.37,-104.54,496052,1101,-7
2022,1,1,9,30,0,0,0,145.92,33.37,-104.54,496052,1101,-7
2022,1,1,10,30,0,0,0,133.42,33.37,-104.54,496052,1101,-7
2022,1,1,11,30,0,0,0,120.95,33.37,-104.54,496052,1101,-7
2022,1,1,12,30,0,0,0,108.72,33.37,-104.54,496052,1101,-7
2022,1,1,13,30,0,0,0,96.9,33.37,-104.54,496052,1101,-7
2022,1,1,14,30,22,484,59,85.59,33.37,-104.54,496052,1101,-7
2022,1,1,15,30,36,797,235,75.54,33.37,-104.54,496052,1101,-7
2022,1,1,16,30,45,910,402,66.9,33.37,-104.54,496052,1101,-7
2022,1,1,17,30,53,957,526,60.4,33.37,-104.54,496052,1101,-7
2022,1,1,18,30,62,974,595,56.81,33.37,-104.54,496052,1101,-7
2022,1,1,19,30,116,70,154,56.69,33.37,-104.54,496052,1101,-7
2022,1,1,20,30,89,817,497,60.07,33.37,-104.54,496052,1101,-7
2022,1,1,21,30,101,689,377,66.41,33.37,-104.54,496052,1101,-7
2022,1,1,22,30,90,68,108,74.94,33.37,-104.54,496052,1101,-7
2022,1,1,23,30,38,9,39,84.92,33.37,-104.54,496052,1101,-7
2022,1,2,0,30,0,0,0,96.16,33.37,-104.54,496052,1101,-7
2022,1,2,1,30,0,0,0,107.94,33.37,-104.54,496052,1101,-7
2022,1,2,2,30,0,0,0,120.16,33.37,-104.54,496052,1101,-7
2022,1,2,3,30,0,0,0,132.61,33.37,-104.54,496052,1101,-7
2022,1,2,4,30,0,0,0,145.11,33.37,-104.54,496052,1101,-7
2022,1,2,5,30,0,0,0,157.25,33.37,-104.54,496052,1101,-7
2022,1,2,6,30,0,0,0,167.39,33.37,-104.54,496052,1101,-7
2022,1,2,7,30,0,0,0,167.88,33.37,-104.54,496052,1101,-7
2022,1,2,8,30,0,0,0,158.06,33.37,-104.54,496052,1101,-7
2022,1,2,9,30,0,0,0,145.97,33.37,-104.54,496052,1101,-7
2022,1,2,10,30,0,0,0,133.48,33.37,-104.54,496052,1101,-7
2022,1,2,11,30,0,0,0,121.01,33.37,-104.54,496052,1101,-7
2022,1,2,12,30,0,0,0,108.77,33.37,-104.54,496052,1101,-7
2022,1,2,13,30,0,0,0,96.94,33.37,-104.54,496052,1101,-7
2022,1,2,14,30,32,259,52,85.61,33.37,-104.54,496052,1101,-7
2022,1,2,15,30,60,694,233,75.55,33.37,-104.54,496052,1101,-7
2022,1,2,16,30,42,980,427,66.88,33.37,-104.54,496052,1101,-7
2022,1,2,17,30,46,1031,556,60.35,33.37,-104.54,496052,1101,-7
2022,1,2,18,30,48,1053,626,56.73,33.37,-104.54,496052,1101,-7
2022,1,2,19,30,48,1054,628,56.59,33.37,-104.54,496052,1101,-7
2022,1,2,20,30,47,1019,557,59.95,33.37,-104.54,496052,1101,-7
2022,1,2,21,30,43,970,433,66.27,33.37,-104.54,496052,1101,-7
2022,1,2,22,30,36,865,263,74.79,33.37,-104.54,496052,1101,-7
2022,1,2,23,30,23,585,76,84.78,33.37,-104.54,496052,1101,-7
2022,1,3,0,30,0,0,0,96.02,33.37,-104.54,496052,1101,-7
2022,1,3,1,30,0,0,0,107.8,33.37,-104.54,496052,1101,-7
2022,1,3,2,30,0,0,0,120.02,33.37,-104.54,496052,1101,-7
2022,1,3,3,30,0,0,0,132.48,33.37,-104.54,496052,1101,-7
2022,1,3,4,30,0,0,0,144.97,33.37,-104.54,496052,1101,-7
2022,1,3,5,30,0,0,0,157.11,33.37,-104.54,496052,1101,-7
2022,1,3,6,30,0,0,0,167.26,33.37,-104.54,496052,1101,-7
2022,1,3,7,30,0,0,0,167.85,33.37,-104.54,496052,1101,-7
2022,1,3,8,30,0,0,0,158.09,33.37,-104.54,496052,1101,-7
2022,1,3,9,30,0,0,0,146.03,33.37,-104.54,496052,1101,-7
2022,1,3,10,30,0,0,0,133.54,33.37,-104.54,496052,1101,-7
2022,1,3,11,30,0,0,0,121.06,33.37,-104.54,496052,1101,-7
2022,1,3,12,30,0,0,0,108.81,33.37,-104.54,496052,1101,-7
2022,1,3,13,30,0,0,0,96.98,33.37,-104.54,496052,1101,-7
2022,1,3,14,30,28,395,58,85.63,33.37,-104.54,496052,1101,-7
2022,1,3,15,30,44,812,247,75.55,33.37,-104.54,496052,1101,-7
2022,1,3,16,30,42,982,428,66.86,33.37,-104.54,496052,1101,-7
2022,1,3,17,30,46,1029,556,60.3,33.37,-104.54,496052,1101,-7
2022,1,3,18,30,49,1039,620,56.65,33.37,-104.54,496052,1101,-7
2022,1,3,19,30,49,1040,623,56.48,33.37,-104.54,496052,1101,-7
2022,1,3,20,30,47,1020,560,59.82,33.37,-104.54,496052,1101,-7
2022,1,3,21,30,125,658,391,66.13,33.37,-104.54,496052,1101,-7
2022,1,3,22,30,55,769,259,74.65,33.37,-104.54,496052,1101,-7
2022,1,3,23,30,33,400,70,84.64,33.37,-104.54,496052,1101,-7
2022,1,4,0,30,0,0,0,95.88,33.37,-104.54,496052,1101,-7
2022,1,4,1,30,0,0,0,107.66,33.37,-104.54,496052,1101,-7
2022,1,4,2,30,0,0,0,119.88,33.37,-104.54,496052,1101,-7
2022,1,4,3,30,0,0,0,132.34,33.37,-104.54,496052,1101,-7
2022,1,4,4,30,0,0,0,144.83,33.37,-104.54,496052,1101,-7
2022,1,4,5,30,0,0,0,156.96,33.37,-104.54,496052,1101,-7
2022,1,4,6,30,0,0,0,167.11,33.37,-104.54,496052,1101,-7
2022,1,4,7,30,0,0,0,167.81,33.37,-104.54,496052,1101,-7
2022,1,4,8,30,0,0,0,158.12,33.37,-104.54,496052,1101,-7
2022,1,4,9,30,0,0,0,146.08,33.37,-104.54,496052,1101,-7
2022,1,4,10,30,0,0,0,133.59,33.37,-104.54,496052,1101,-7
2022,1,4,11,30,0,0,0,121.11,33.37,-104.54,496052,1101,-7
2022,1,4,12,30,0,0,0,108.86,33.37,-104.54,496052,1101,-7
2022,1,4,13,30,0,0,0,97.01,33.37,-104.54,496052,1101,-7
2022,1,4,14,30,33,240,51,85.65,33.37,-104.54,496052,1101,-7
2022,1,4,15,30,64,635,222,75.55,33.37,-104.54,496052,1101,-7
2022,1,4,16,30,42,943,413,66.84,33.37,-104.54,496052,1101,-7
2022,1,4,17,30,46,999,542,60.25,33.37,-104.54,496052,1101,-7
2022,1,4,18,30,49,1027,615,56.56,33.37,-104.54,496052,1101,-7
2022,1,4,19,30,52,1026,620,56.36,33.37,-104.54,496052,1101,-7
2022,1,4,20,30,54,1000,559,59.68,33.37,-104.54,496052,1101,-7
2022,1,4,21,30,55,940,437,65.99,33.37,-104.54,496052,1101,-7
2022,1,4,22,30,46,814,264,74.5,33.37,-104.54,496052,1101,-7
2022,1,4,23,30,28,516,78,84.49,33.37,-104.54,496052,1101,-7
2022,1,5,0,30,0,0,0,95.73,33.37,-104.54,496052,1101,-7
2022,1,5,1,30,0,0,0,107.52,33.37,-104.54,496052,1101,-7
2022,1,5,2,30,0,0,0,119.74,33.37,-104.54,496052,1101,-7
2022,1,5,3,30,0,0,0,132.2,33.37,-104.54,496052,1101,-7
2022,1,5,4,30,0,0,0,144.69,33.37,-104.54,496052,1101,-7
2022,1,5,5,30,0,0,0,156.82,33.37,-104.54,496052,1101,-7
2022,1,5,6,30,0,0,0,166.96,33.37,-104.54,496052,1101,-7
2022,1,5,7,30,0,0,0,167.76,33.37,-104.54,496052,1101,-7
2022,1,5,8,30,0,0,0,158.15,33.37,-104.54,496052,1101,-7
2022,1,5,9,30,0,0,0,146.12,33.37,-104.54,496052,1101,-7
2022,1,5,10,30,0,0,0,133.64,33.37,-104.54,496052,1101,-7
2022,1,5,11,30,0,0,0,121.16,33.37,-104.54,496052,1101,-7
2022,1,5,12,30,0,0,0,108.89,33.37,-104.54,496052,1101,-7
2022,1,5,13,30,0,0,0,97.04,33.37,-104.54,496052,1101,-7
2022,1,5,14,30,25,369,53,85.66,33.37,-104.54,496052,1101,-7
2022,1,5,15,30,68,583,214,75.54,33.37,-104.54,496052,1101,-7
2022,1,5,16,30,46,917,407,66.8,33.37,-104.54,496052,1101,-7
2022,1,5,17,30,50,978,536,60.18,33.37,-104.54,496052,1101,-7
