Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Solar Zenith Angle,Latitude,Longitude,Location ID,Elevation,Local Time Zone
2022,1,1,0,30,0,0,0,93.36,31.89,-107.58,422738,1234,-7
2022,1,1,1,30,0,0,0,105.2,31.89,-107.58,422738,1234,-7
2022,1,1,2,30,0,0,0,117.51,31.89,-107.58,422738,1234,-7
2022,1,1,3,30,0,0,0,130.11,31.89,-107.58,422738,1234,-7
2022,1,1,4,30,0,0,0,142.83,31.89,-107.58,422738,1234,-7
2022,1,1,5,30,0,0,0,155.4,31.89,-107.58,422738,1234,-7
2022,1,1,6,30,0,0,0,166.84,31.89,-107.58,422738,1234,-7
2022,1,1,7,30,0,0,0,170.4,31.89,-107.58,422738,1234,-7
2022,1,1,8,30,0,0,0,160.94,31.89,-107.58,422738,1234,-7
2022,1,1,9,30,0,0,0,148.65,31.89,-107.58,422738,1234,-7
2022,1,1,10,30,0,0,0,135.95,31.89,-107.58,422738,1234,-7
2022,1,1,11,30,0,0,0,123.27,31.89,-107.58,422738,1234,-7
2022,1,1,12,30,0,0,0,110.8,31.89,-107.58,422738,1234,-7
2022,1,1,13,30,0,0,0,98.72,31.89,-107.58,422738,1234,-7
2022,1,1,14,30,21,258,34,87.02,31.89,-107.58,422738,1234,-7
2022,1,1,15,30,39,753,214,76.59,31.89,-107.58,422738,1234,-7
2022,1,1,16,30,51,882,390,67.4,31.89,-107.58,422738,1234,-7
2022,1,1,17,30,62,937,528,60.21,31.89,-107.58,422738,1234,-7
2022,1,1,18,30,169,87,218,55.84,31.89,-107.58,422738,1234,-7
2022,1,1,19,30,185,45,211,54.97,31.89,-107.58,422738,1234,-7
2022,1,1,20,30,158,545,449,57.76,31.89,-107.58,422738,1234,-7
2022,1,1,21,30,161,395,336,63.72,31.89,-107.58,422738,1234,-7
2022,1,1,22,30,157,104,189,72.07,31.89,-107.58,422738,1234,-7
2022,1,1,23,30,35,629,122,82.02,31.89,-107.58,422738,1234,-7
