Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Solar Zenith Angle,Latitude,Longitude,Location ID,Elevation,Local Time Zone
2022,1,1,0,30,0,0,0,95.37,35.29,-106.82,439901,1851,-7
2022,1,1,1,30,0,0,0,106.83,35.29,-106.82,439901,1851,-7
2022,1,1,2,30,0,0,0,118.75,35.29,-106.82,439901,1851,-7
2022,1,1,3,30,0,0,0,130.93,35.29,-106.82,439901,1851,-7
2022,1,1,4,30,0,0,0,143.13,35.29,-106.82,439901,1851,-7
2022,1,1,5,30,0,0,0,154.93,35.29,-106.82,439901,1851,-7
2022,1,1,6,30,0,0,0,164.87,35.29,-106.82,439901,1851,-7
2022,1,1,7,30,0,0,0,167.02,35.29,-106.82,439901,1851,-7
2022,1,1,8,30,0,0,0,158.84,35.29,-106.82,439901,1851,-7
2022,1,1,9,30,0,0,0,147.41,35.29,-106.82,439901,1851,-7
2022,1,1,10,30,0,0,0,135.28,35.29,-106.82,439901,1851,-7
2022,1,1,11,30,0,0,0,123.05,35.29,-106.82,439901,1851,-7
2022,1,1,12,30,0,0,0,111.01,35.29,-106.82,439901,1851,-7
2022,1,1,13,30,0,0,0,99.36,35.29,-106.82,439901,1851,-7
2022,1,1,14,30,16,2,16,88.08,35.29,-106.82,439901,1851,-7
2022,1,1,15,30,69,13,72,78.2,35.29,-106.82,439901,1851,-7
2022,1,1,16,30,131,112,170,69.56,35.29,-106.82,439901,1851,-7
2022,1,1,17,30,210,40,228,62.93,35.29,-106.82,439901,1851,-7
2022,1,1,18,30,189,681,540,59.02,35.29,-106.82,439901,1851,-7
2022,1,1,19,30,177,648,517,58.39,35.29,-106.82,439901,1851,-7
2022,1,1,20,30,260,111,314,61.14,35.29,-106.82,439901,1851,-7
2022,1,1,21,30,150,615,392,66.86,35.29,-106.82,439901,1851,-7
2022,1,1,22,30,65,733,257,74.85,35.29,-106.82,439901,1851,-7
2022,1,1,23,30,30,512,80,84.39,35.29,-106.82,439901,1851,-7
2022,1,2,0,30,0,0,0,95.24,35.29,-106.82,439901,1851,-7
2022,1,2,1,30,0,0,0,106.69,35.29,-106.82,439901,1851,-7
2022,1,2,2,30,0,0,0,118.61,35.29,-106.82,439901,1851,-7
2022,1,2,3,30,0,0,0,130.79,35.29,-106.82,439901,1851,-7
2022,1,2,4,30,0,0,0,143,35.29,-106.82,439901,1851,-7
2022,1,2,5,30,0,0,0,154.8,35.29,-106.82,439901,1851,-7
2022,1,2,6,30,0,0,0,164.73,35.29,-106.82,439901,1851,-7
2022,1,2,7,30,0,0,0,166.97,35.29,-106.82,439901,1851,-7
2022,1,2,8,30,0,0,0,158.86,35.29,-106.82,439901,1851,-7
2022,1,2,9,30,0,0,0,147.46,35.29,-106.82,439901,1851,-7
2022,1,2,10,30,0,0,0,135.33,35.29,-106.82,439901,1851,-7
2022,1,2,11,30,0,0,0,123.11,35.29,-106.82,439901,1851,-7
2022,1,2,12,30,0,0,0,111.06,35.29,-106.82,439901,1851,-7
2022,1,2,13,30,0,0,0,99.4,35.29,-106.82,439901,1851,-7
2022,1,2,14,30,16,348,28,88.09,35.29,-106.82,439901,1851,-7
2022,1,2,15,30,31,834,202,78.2,35.29,-106.82,439901,1851,-7
2022,1,2,16,30,38,955,372,69.55,35.29,-106.82,439901,1851,-7
2022,1,2,17,30,43,1012,504,62.89,35.29,-106.82,439901,1851,-7
2022,1,2,18,30,45,1038,580,58.95,35.29,-106.82,439901,1851,-7
2022,1,2,19,30,45,1042,593,58.29,35.29,-106.82,439901,1851,-7
2022,1,2,20,30,44,1020,538,61.02,35.29,-106.82,439901,1851,-7
2022,1,2,21,30,41,968,423,66.73,35.29,-106.82,439901,1851,-7
2022,1,2,22,30,35,870,264,74.71,35.29,-106.82,439901,1851,-7
2022,1,2,23,30,24,613,85,84.25,35.29,-106.82,439901,1851,-7
2022,1,3,0,30,0,0,0,95.09,35.29,-106.82,439901,1851,-7
2022,1,3,1,30,0,0,0,106.55,35.29,-106.82,439901,1851,-7
2022,1,3,2,30,0,0,0,118.47,35.29,-106.82,439901,1851,-7
2022,1,3,3,30,0,0,0,130.65,35.29,-106.82,439901,1851,-7
2022,1,3,4,30,0,0,0,142.86,35.29,-106.82,439901,1851,-7
2022,1,3,5,30,0,0,0,154.66,35.29,-106.82,439901,1851,-7
2022,1,3,6,30,0,0,0,164.6,35.29,-106.82,439901,1851,-7
2022,1,3,7,30,0,0,0,166.91,35.29,-106.82,439901,1851,-7
2022,1,3,8,30,0,0,0,158.89,35.29,-106.82,439901,1851,-7
2022,1,3,9,30,0,0,0,147.5,35.29,-106.82,439901,1851,-7
2022,1,3,10,30,0,0,0,135.38,35.29,-106.82,439901,1851,-7
2022,1,3,11,30,0,0,0,123.16,35.29,-106.82,439901,1851,-7
2022,1,3,12,30,0,0,0,111.1,35.29,-106.82,439901,1851,-7
2022,1,3,13,30,0,0,0,99.43,35.29,-106.82,439901,1851,-7
2022,1,3,14,30,17,346,28,88.12,35.29,-106.82,439901,1851,-7
2022,1,3,15,30,31,833,201,78.21,35.29,-106.82,439901,1851,-7
2022,1,3,16,30,38,968,377,69.53,35.29,-106.82,439901,1851,-7
2022,1,3,17,30,43,1028,512,62.84,35.29,-106.82,439901,1851,-7
2022,1,3,18,30,44,1038,581,58.87,35.29,-106.82,439901,1851,-7
2022,1,3,19,30,45,1042,594,58.18,35.29,-106.82,439901,1851,-7
2022,1,3,20,30,45,1024,543,60.9,35.29,-106.82,439901,1851,-7
2022,1,3,21,30,44,977,432,66.59,35.29,-106.82,439901,1851,-7
2022,1,3,22,30,37,879,271,74.57,35.29,-106.82,439901,1851,-7
2022,1,3,23,30,24,622,88,84.11,35.29,-106.82,439901,1851,-7
2022,1,4,0,30,0,0,0,94.95,35.29,-106.82,439901,1851,-7
2022,1,4,1,30,0,0,0,106.41,35.29,-106.82,439901,1851,-7
2022,1,4,2,30,0,0,0,118.33,35.29,-106.82,439901,1851,-7
2022,1,4,3,30,0,0,0,130.51,35.29,-106.82,439901,1851,-7
2022,1,4,4,30,0,0,0,142.72,35.29,-106.82,439901,1851,-7
2022,1,4,5,30,0,0,0,154.51,35.29,-106.82,439901,1851,-7
2022,1,4,6,30,0,0,0,164.45,35.29,-106.82,439901,1851,-7
2022,1,4,7,30,0,0,0,166.84,35.29,-106.82,439901,1851,-7
2022,1,4,8,30,0,0,0,158.9,35.29,-106.82,439901,1851,-7
2022,1,4,9,30,0,0,0,147.54,35.29,-106.82,439901,1851,-7
2022,1,4,10,30,0,0,0,135.43,35.29,-106.82,439901,1851,-7
2022,1,4,11,30,0,0,0,123.2,35.29,-106.82,439901,1851,-7
2022,1,4,12,30,0,0,0,111.14,35.29,-106.82,439901,1851,-7
2022,1,4,13,30,0,0,0,99.46,35.29,-106.82,439901,1851,-7
2022,1,4,14,30,14,1,14,88.13,35.29,-106.82,439901,1851,-7
2022,1,4,15,30,104,104,125,78.21,35.29,-106.82,439901,1851,-7
2022,1,4,16,30,39,952,372,69.5,35.29,-106.82,439901,1851,-7
2022,1,4,17,30,45,1010,507,62.79,35.29,-106.82,439901,1851,-7
2022,1,4,18,30,51,1033,586,58.78,35.29,-106.82,439901,1851,-7
2022,1,4,19,30,51,1025,593,58.07,35.29,-106.82,439901,1851,-7
2022,1,4,20,30,53,1002,542,60.77,35.29,-106.82,439901,1851,-7
2022,1,4,21,30,51,941,427,66.45,35.29,-106.82,439901,1851,-7
2022,1,4,22,30,41,847,268,74.42,35.29,-106.82,439901,1851,-7
2022,1,4,23,30,25,594,88,83.96,35.29,-106.82,439901,1851,-7
2022,1,5,0,30,0,0,0,94.8,35.29,-106.82,439901,1851,-7
2022,1,5,1,30,0,0,0,106.26,35.29,-106.82,439901,1851,-7
2022,1,5,2,30,0,0,0,118.19,35.29,-106.82,439901,1851,-7
