Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Solar Zenith Angle,Latitude,Longitude,Location ID,Elevation,Local Time Zone
2022,1,1,0,30,0,0,0,94.03,32.25,-106.9,438132,1305,-7
2022,1,1,1,30,0,0,0,105.85,32.25,-106.9,438132,1305,-7
2022,1,1,2,30,0,0,0,118.14,32.25,-106.9,438132,1305,-7
2022,1,1,3,30,0,0,0,130.71,32.25,-106.9,438132,1305,-7
2022,1,1,4,30,0,0,0,143.38,32.25,-106.9,438132,1305,-7
2022,1,1,5,30,0,0,0,155.86,32.25,-106.9,438132,1305,-7
2022,1,1,6,30,0,0,0,167.05,32.25,-106.9,438132,1305,-7
2022,1,1,7,30,0,0,0,169.85,32.25,-106.9,438132,1305,-7
2022,1,1,8,30,0,0,0,160.28,32.25,-106.9,438132,1305,-7
2022,1,1,9,30,0,0,0,148.04,32.25,-106.9,438132,1305,-7
2022,1,1,10,30,0,0,0,135.38,32.25,-106.9,438132,1305,-7
2022,1,1,11,30,0,0,0,122.75,32.25,-106.9,438132,1305,-7
2022,1,1,12,30,0,0,0,110.33,32.25,-106.9,438132,1305,-7
2022,1,1,13,30,0,0,0,98.31,32.25,-106.9,438132,1305,-7
2022,1,1,14,30,17,132,25,86.7,32.25,-106.9,438132,1305,-7
2022,1,1,15,30,112,96,135,76.35,32.25,-106.9,438132,1305,-7
2022,1,1,16,30,77,782,379,67.28,32.25,-106.9,438132,1305,-7
2022,1,1,17,30,188,60,218,60.25,32.25,-106.9,438132,1305,-7
2022,1,1,18,30,160,702,552,56.05,32.25,-106.9,438132,1305,-7
2022,1,1,19,30,190,248,331,55.35,32.25,-106.9,438132,1305,-7
2022,1,1,20,30,155,683,514,58.28,32.25,-106.9,438132,1305,-7
2022,1,1,21,30,80,790,422,64.33,32.25,-106.9,438132,1305,-7
2022,1,1,22,30,52,833,299,72.72,32.25,-106.9,438132,1305,-7
2022,1,1,23,30,34,598,110,82.68,32.25,-106.9,438132,1305,-7
2022,1,2,0,30,0,0,0,93.89,32.25,-106.9,438132,1305,-7
2022,1,2,1,30,0,0,0,105.72,32.25,-106.9,438132,1305,-7
2022,1,2,2,30,0,0,0,118.01,32.25,-106.9,438132,1305,-7
2022,1,2,3,30,0,0,0,130.58,32.25,-106.9,438132,1305,-7
2022,1,2,4,30,0,0,0,143.25,32.25,-106.9,438132,1305,-7
2022,1,2,5,30,0,0,0,155.73,32.25,-106.9,438132,1305,-7
2022,1,2,6,30,0,0,0,166.91,32.25,-106.9,438132,1305,-7
2022,1,2,7,30,0,0,0,169.82,32.25,-106.9,438132,1305,-7
2022,1,2,8,30,0,0,0,160.32,32.25,-106.9,438132,1305,-7
2022,1,2,9,30,0,0,0,148.1,32.25,-106.9,438132,1305,-7
2022,1,2,10,30,0,0,0,135.45,32.25,-106.9,438132,1305,-7
2022,1,2,11,30,0,0,0,122.81,32.25,-106.9,438132,1305,-7
