Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Solar Zenith Angle,Latitude,Longitude,Location ID,Elevation,Local Time Zone
2022,1,1,0,30,0,0,0,94.38,32.05,-106.34,451308,1224,-7
2022,1,1,1,30,0,0,0,106.25,32.05,-106.34,451308,1224,-7
2022,1,1,2,30,0,0,0,118.57,32.05,-106.34,451308,1224,-7
2022,1,1,3,30,0,0,0,131.17,32.05,-106.34,451308,1224,-7
2022,1,1,4,30,0,0,0,143.87,32.05,-106.34,451308,1224,-7
2022,1,1,5,30,0,0,0,156.37,32.05,-106.34,451308,1224,-7
2022,1,1,6,30,0,0,0,167.53,32.05,-106.34,451308,1224,-7
2022,1,1,7,30,0,0,0,169.82,32.05,-106.34,451308,1224,-7
2022,1,1,8,30,0,0,0,159.91,32.05,-106.34,451308,1224,-7
2022,1,1,9,30,0,0,0,147.59,32.05,-106.34,451308,1224,-7
2022,1,1,10,30,0,0,0,134.91,32.05,-106.34,451308,1224,-7
2022,1,1,11,30,0,0,0,122.25,32.05,-106.34,451308,1224,-7
2022,1,1,12,30,0,0,0,109.82,32.05,-106.34,451308,1224,-7
2022,1,1,13,30,0,0,0,97.79,32.05,-106.34,451308,1224,-7
2022,1,1,14,30,23,406,50,86.21,32.05,-106.34,451308,1224,-7
2022,1,1,15,30,42,764,229,75.86,32.05,-106.34,451308,1224,-7
2022,1,1,16,30,68,787,378,66.82,32.05,-106.34,451308,1224,-7
2022,1,1,17,30,165,516,424,59.86,32.05,-106.34,451308,1224,-7
2022,1,1,18,30,148,625,500,55.76,32.05,-106.34,451308,1224,-7
2022,1,1,19,30,221,239,357,55.2,32.05,-106.34,451308,1224,-7
2022,1,1,20,30,199,147,276,58.27,32.05,-106.34,451308,1224,-7
2022,1,1,21,30,148,32,162,64.45,32.05,-106.34,451308,1224,-7
2022,1,1,22,30,120,176,172,72.93,32.05,-106.34,451308,1224,-7
2022,1,1,23,30,38,1,38,82.97,32.05,-106.34,451308,1224,-7
2022,1,2,0,30,0,0,0,94.24,32.05,-106.34,451308,1224,-7
2022,1,2,1,30,0,0,0,106.11,32.05,-106.34,451308,1224,-7
2022,1,2,2,30,0,0,0,118.44,32.05,-106.34,451308,1224,-7
2022,1,2,3,30,0,0,0,131.04,32.05,-106.34,451308,1224,-7
2022,1,2,4,30,0,0,0,143.74,32.05,-106.34,451308,1224,-7
2022,1,2,5,30,0,0,0,156.24,32.05,-106.34,451308,1224,-7
2022,1,2,6,30,0,0,0,167.39,32.05,-106.34,451308,1224,-7
2022,1,2,7,30,0,0,0,169.79,32.05,-106.34,451308,1224,-7
2022,1,2,8,30,0,0,0,159.96,32.05,-106.34,451308,1224,-7
2022,1,2,9,30,0,0,0,147.66,32.05,-106.34,451308,1224,-7
2022,1,2,10,30,0,0,0,134.97,32.05,-106.34,451308,1224,-7
2022,1,2,11,30,0,0,0,122.31,32.05,-106.34,451308,1224,-7
2022,1,2,12,30,0,0,0,109.88,32.05,-106.34,451308,1224,-7
2022,1,2,13,30,0,0,0,97.84,32.05,-106.34,451308,1224,-7
2022,1,2,14,30,21,529,56,86.23,32.05,-106.34,451308,1224,-7
2022,1,2,15,30,35,864,246,75.87,32.05,-106.34,451308,1224,-7
2022,1,2,16,30,43,982,430,66.81,32.05,-106.34,451308,1224,-7
2022,1,2,17,30,48,1036,569,59.82,32.05,-106.34,451308,1224,-7
2022,1,2,18,30,50,1059,647,55.69,32.05,-106.34,451308,1224,-7
2022,1,2,19,30,50,1063,658,55.1,32.05,-106.34,451308,1224,-7
2022,1,2,20,30,49,1046,601,58.15,32.05,-106.34,451308,1224,-7
2022,1,2,21,30,45,1004,480,64.31,32.05,-106.34,451308,1224,-7
2022,1,2,22,30,39,914,309,72.79,32.05,-106.34,451308,1224,-7
2022,1,2,23,30,26,686,112,82.83,32.05,-106.34,451308,1224,-7
