Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Solar Zenith Angle,Latitude,Longitude,Location ID,Elevation,Local Time Zone
2022,1,1,0,30,0,0,0,96.26,36.33,-106.18,455003,2092,-7
2022,1,1,1,30,0,0,0,107.6,36.33,-106.18,455003,2092,-7
2022,1,1,2,30,0,0,0,119.4,36.33,-106.18,455003,2092,-7
2022,1,1,3,30,0,0,0,131.44,36.33,-106.18,455003,2092,-7
2022,1,1,4,30,0,0,0,143.46,36.33,-106.18,455003,2092,-7
2022,1,1,5,30,0,0,0,154.97,36.33,-106.18,455003,2092,-7
2022,1,1,6,30,0,0,0,164.33,36.33,-106.18,455003,2092,-7
2022,1,1,7,30,0,0,0,165.87,36.33,-106.18,455003,2092,-7
2022,1,1,8,30,0,0,0,157.87,36.33,-106.18,455003,2092,-7
2022,1,1,9,30,0,0,0,146.68,36.33,-106.18,455003,2092,-7
2022,1,1,10,30,0,0,0,134.73,36.33,-106.18,455003,2092,-7
2022,1,1,11,30,0,0,0,122.67,36.33,-106.18,455003,2092,-7
2022,1,1,12,30,0,0,0,110.77,36.33,-106.18,455003,2092,-7
2022,1,1,13,30,0,0,0,99.28,36.33,-106.18,455003,2092,-7
2022,1,1,14,30,7,0,7,88.17,36.33,-106.18,455003,2092,-7
2022,1,1,15,30,95,14,98,78.48,36.33,-106.18,455003,2092,-7
2022,1,1,16,30,136,24,144,70.05,36.33,-106.18,455003,2092,-7
2022,1,1,17,30,216,304,351,63.65,36.33,-106.18,455003,2092,-7
2022,1,1,18,30,132,574,419,59.95,36.33,-106.18,455003,2092,-7
2022,1,1,19,30,92,950,575,59.47,36.33,-106.18,455003,2092,-7
2022,1,1,20,30,102,888,515,62.29,36.33,-106.18,455003,2092,-7
2022,1,1,21,30,75,880,405,68,36.33,-106.18,455003,2092,-7
2022,1,1,22,30,71,652,230,75.92,36.33,-106.18,455003,2092,-7
2022,1,1,23,30,31,229,50,85.36,36.33,-106.18,455003,2092,-7
2022,1,2,0,30,0,0,0,96.12,36.33,-106.18,455003,2092,-7
2022,1,2,1,30,0,0,0,107.46,36.33,-106.18,455003,2092,-7
2022,1,2,2,30,0,0,0,119.27,36.33,-106.18,455003,2092,-7
2022,1,2,3,30,0,0,0,131.3,36.33,-106.18,455003,2092,-7
2022,1,2,4,30,0,0,0,143.32,36.33,-106.18,455003,2092,-7
2022,1,2,5,30,0,0,0,154.83,36.33,-106.18,455003,2092,-7
2022,1,2,6,30,0,0,0,164.2,36.33,-106.18,455003,2092,-7
2022,1,2,7,30,0,0,0,165.82,36.33,-106.18,455003,2092,-7
2022,1,2,8,30,0,0,0,157.9,36.33,-106.18,455003,2092,-7
2022,1,2,9,30,0,0,0,146.73,36.33,-106.18,455003,2092,-7
2022,1,2,10,30,0,0,0,134.78,36.33,-106.18,455003,2092,-7
2022,1,2,11,30,0,0,0,122.72,36.33,-106.18,455003,2092,-7
2022,1,2,12,30,0,0,0,110.82,36.33,-106.18,455003,2092,-7
2022,1,2,13,30,0,0,0,99.31,36.33,-106.18,455003,2092,-7
2022,1,2,14,30,16,333,27,88.17,36.33,-106.18,455003,2092,-7
2022,1,2,15,30,35,811,197,78.48,36.33,-106.18,455003,2092,-7
2022,1,2,16,30,47,947,370,70.04,36.33,-106.18,455003,2092,-7
2022,1,2,17,30,55,1006,502,63.6,36.33,-106.18,455003,2092,-7
2022,1,2,18,30,58,1029,575,59.87,36.33,-106.18,455003,2092,-7
2022,1,2,19,30,59,1023,580,59.37,36.33,-106.18,455003,2092,-7
2022,1,2,20,30,57,1003,525,62.17,36.33,-106.18,455003,2092,-7
2022,1,2,21,30,51,954,410,67.87,36.33,-106.18,455003,2092,-7
2022,1,2,22,30,41,847,249,75.78,36.33,-106.18,455003,2092,-7
2022,1,2,23,30,23,559,70,85.22,36.33,-106.18,455003,2092,-7
2022,1,3,0,30,0,0,0,95.98,36.33,-106.18,455003,2092,-7
2022,1,3,1,30,0,0,0,107.32,36.33,-106.18,455003,2092,-7
2022,1,3,2,30,0,0,0,119.13,36.33,-106.18,455003,2092,-7
2022,1,3,3,30,0,0,0,131.17,36.33,-106.18,455003,2092,-7
2022,1,3,4,30,0,0,0,143.18,36.33,-106.18,455003,2092,-7
2022,1,3,5,30,0,0,0,154.69,36.33,-106.18,455003,2092,-7
2022,1,3,6,30,0,0,0,164.06,36.33,-106.18,455003,2092,-7
2022,1,3,7,30,0,0,0,165.76,36.33,-106.18,455003,2092,-7
2022,1,3,8,30,0,0,0,157.91,36.33,-106.18,455003,2092,-7
2022,1,3,9,30,0,0,0,146.77,36.33,-106.18,455003,2092,-7
2022,1,3,10,30,0,0,0,134.83,36.33,-106.18,455003,2092,-7
2022,1,3,11,30,0,0,0,122.76,36.33,-106.18,455003,2092,-7
2022,1,3,12,30,0,0,0,110.86,36.33,-106.18,455003,2092,-7
2022,1,3,13,30,0,0,0,99.34,36.33,-106.18,455003,2092,-7
2022,1,3,14,30,17,311,27,88.19,36.33,-106.18,455003,2092,-7
2022,1,3,15,30,36,824,201,78.48,36.33,-106.18,455003,2092,-7
2022,1,3,16,30,48,961,377,70.01,36.33,-106.18,455003,2092,-7
2022,1,3,17,30,56,1015,508,63.55,36.33,-106.18,455003,2092,-7
2022,1,3,18,30,60,1031,579,59.79,36.33,-106.18,455003,2092,-7
2022,1,3,19,30,60,1034,589,59.26,36.33,-106.18,455003,2092,-7
2022,1,3,20,30,61,1011,535,62.05,36.33,-106.18,455003,2092,-7
2022,1,3,21,30,56,957,419,67.73,36.33,-106.18,455003,2092,-7
2022,1,3,22,30,44,850,255,75.64,36.33,-106.18,455003,2092,-7
2022,1,3,23,30,26,562,74,85.08,36.33,-106.18,455003,2092,-7
2022,1,4,0,30,0,0,0,95.84,36.33,-106.18,455003,2092,-7
2022,1,4,1,30,0,0,0,107.18,36.33,-106.18,455003,2092,-7
2022,1,4,2,30,0,0,0,118.99,36.33,-106.18,455003,2092,-7
2022,1,4,3,30,0,0,0,131.02,36.33,-106.18,455003,2092,-7
2022,1,4,4,30,0,0,0,143.04,36.33,-106.18,455003,2092,-7
2022,1,4,5,30,0,0,0,154.55,36.33,-106.18,455003,2092,-7
2022,1,4,6,30,0,0,0,163.92,36.33,-106.18,455003,2092,-7
2022,1,4,7,30,0,0,0,165.69,36.33,-106.18,455003,2092,-7
2022,1,4,8,30,0,0,0,157.92,36.33,-106.18,455003,2092,-7
2022,1,4,9,30,0,0,0,146.81,36.33,-106.18,455003,2092,-7
2022,1,4,10,30,0,0,0,134.87,36.33,-106.18,455003,2092,-7
2022,1,4,11,30,0,0,0,122.8,36.33,-106.18,455003,2092,-7
2022,1,4,12,30,0,0,0,110.89,36.33,-106.18,455003,2092,-7
2022,1,4,13,30,0,0,0,99.37,36.33,-106.18,455003,2092,-7
2022,1,4,14,30,17,76,19,88.21,36.33,-106.18,455003,2092,-7
2022,1,4,15,30,48,726,193,78.47,36.33,-106.18,455003,2092,-7
2022,1,4,16,30,66,886,369,69.98,36.33,-106.18,455003,2092,-7
2022,1,4,17,30,114,845,491,63.5,36.33,-106.18,455003,2092,-7
2022,1,4,18,30,214,640,537,59.71,36.33,-106.18,455003,2092,-7
2022,1,4,19,30,285,438,510,59.15,36.33,-106.18,455003,2092,-7
2022,1,4,20,30,92,909,520,61.91,36.33,-106.18,455003,2092,-7
2022,1,4,21,30,62,921,413,67.59,36.33,-106.18,455003,2092,-7
2022,1,4,22,30,47,820,252,75.49,36.33,-106.18,455003,2092,-7
2022,1,4,23,30,27,514,72,84.93,36.33,-106.18,455003,2092,-7
2022,1,5,0,30,0,0,0,95.69,36.33,-106.18,455003,2092,-7
2022,1,5,1,30,0,0,0,107.03,36.33,-106.18,455003,2092,-7
2022,1,5,2,30,0,0,0,118.84,36.33,-106.18,455003,2092,-7
2022,1,5,3,30,0,0,0,130.88,36.33,-106.18,455003,2092,-7
2022,1,5,4,30,0,0,0,142.9,36.33,-106.18,455003,2092,-7
2022,1,5,5,30,0,0,0,154.4,36.33,-106.18,455003,2092,-7
2022,1,5,6,30,0,0,0,163.78,36.33,-106.18,455003,2092,-7
2022,1,5,7,30,0,0,0,165.62,36.33,-106.18,455003,2092,-7
2022,1,5,8,30,0,0,0,157.92,36.33,-106.18,455003,2092,-7
2022,1,5,9,30,0,0,0,146.83,36.33,-106.18,455003,2092,-7
2022,1,5,10,30,0,0,0,134.91,36.33,-106.18,455003,2092,-7
2022,1,5,11,30,0,0,0,122.84,36.33,-106.18,455003,2092,-7
2022,1,5,12,30,0,0,0,110.92,36.33,-106.18,455003,2092,-7
2022,1,5,13,30,0,0,0,99.39,36.33,-106.18,455003,2092,-7
2022,1,5,14,30,16,232,23,88.22,36.33,-106.18,455003,2092,-7
2022,1,5,15,30,38,775,193,78.46,36.33,-106.18,455003,2092,-7
2022,1,5,16,30,51,917,365,69.95,36.33,-106.18,455003,2092,-7
2022,1,5,17,30,63,970,497,63.43,36.33,-106.18,455003,2092,-7
2022,1,5,18,30,73,980,569,59.61,36.33,-106.18,455003,2092,-7
2022,1,5,19,30,73,988,581,59.03,36.33,-106.18,455003,2092,-7
2022,1,5,20,30,67,972,527,61.78,36.33,-106.18,455003,2092,-7
2022,1,5,21,30,59,923,413,67.44,36.33,-106.18,455003,2092,-7
2022,1,5,22,30,49,722,232,75.34,36.33,-106.18,455003,2092,-7
2022,1,5,23,30,31,345,62,84.79,36.33,-106.18,455003,2092,-7
2022,1,6,0,30,0,0,0,95.54,36.33,-106.18,455003,2092,-7
2022,1,6,1,30,0,0,0,106.89,36.33,-106.18,455003,2092,-7
2022,1,6,2,30,0,0,0,118.69,36.33,-106.18,455003,2092,-7
2022,1,6,3,30,0,0,0,130.73,36.33,-106.18,455003,2092,-7
2022,1,6,4,30,0,0,0,142.75,36.33,-106.18,455003,2092,-7
2022,1,6,5,30,0,0,0,154.24,36.33,-106.18,455003,2092,-7
2022,1,6,6,30,0,0,0,163.62,36.33,-106.18,455003,2092,-7
2022,1,6,7,30,0,0,0,165.53,36.33,-106.18,455003,2092,-7
2022,1,6,8,30,0,0,0,157.92,36.33,-106.18,455003,2092,-7
2022,1,6,9,30,0,0,0,146.86,36.33,-106.18,455003,2092,-7
2022,1,6,10,30,0,0,0,134.94,36.33,-106.18,455003,2092,-7
2022,1,6,11,30,0,0,0,122.87,36.33,-106.18,455003,2092,-7
2022,1,6,12,30,0,0,0,110.95,36.33,-106.18,455003,2092,-7
2022,1,6,13,30,0,0,0,99.4,36.33,-106.18,455003,2092,-7
2022,1,6,14,30,15,2,15,88.22,36.33,-106.18,455003,2092,-7
2022,1,6,15,30,44,721,188,78.44,36.33,-106.18,455003,2092,-7
2022,1,6,16,30,88,750,346,69.91,36.33,-106.18,455003,2092,-7
2022,1,6,17,30,138,745,472,63.36,36.33,-106.18,455003,2092,-7
2022,1,6,18,30,170,725,538,59.51,36.33,-106.18,455003,2092,-7
2022,1,6,19,30,183,702,546,58.9,36.33,-106.18,455003,2092,-7
2022,1,6,20,30,81,924,520,61.63,36.33,-106.18,455003,2092,-7
2022,1,6,21,30,71,869,407,67.28,36.33,-106.18,455003,2092,-7
2022,1,6,22,30,57,747,248,75.18,36.33,-106.18,455003,2092,-7
2022,1,6,23,30,30,469,74,84.63,36.33,-106.18,455003,2092,-7
2022,1,7,0,30,0,0,0,95.38,36.33,-106.18,455003,2092,-7
2022,1,7,1,30,0,0,0,106.73,36.33,-106.18,455003,2092,-7
2022,1,7,2,30,0,0,0,118.54,36.33,-106.18,455003,2092,-7
2022,1,7,3,30,0,0,0,130.59,36.33,-106.18,455003,2092,-7
2022,1,7,4,30,0,0,0,142.6,36.33,-106.18,455003,2092,-7
2022,1,7,5,30,0,0,0,154.09,36.33,-106.18,455003,2092,-7
2022,1,7,6,30,0,0,0,163.47,36.33,-106.18,455003,2092,-7
2022,1,7,7,30,0,0,0,165.44,36.33,-106.18,455003,2092,-7
2022,1,7,8,30,0,0,0,157.91,36.33,-106.18,455003,2092,-7
2022,1,7,9,30,0,0,0,146.87,36.33,-106.18,455003,2092,-7
2022,1,7,10,30,0,0,0,134.97,36.33,-106.18,455003,2092,-7
2022,1,7,11,30,0,0,0,122.89,36.33,-106.18,455003,2092,-7
2022,1,7,12,30,0,0,0,110.97,36.33,-106.18,455003,2092,-7
2022,1,7,13,30,0,0,0,99.41,36.33,-106.18,455003,2092,-7
2022,1,7,14,30,15,248,23,88.21,36.33,-106.18,455003,2092,-7
2022,1,7,15,30,37,772,192,78.42,36.33,-106.18,455003,2092,-7
2022,1,7,16,30,48,916,363,69.86,36.33,-106.18,455003,2092,-7
2022,1,7,17,30,58,972,495,63.28,36.33,-106.18,455003,2092,-7
2022,1,7,18,30,68,991,572,59.4,36.33,-106.18,455003,2092,-7
2022,1,7,19,30,68,994,583,58.77,36.33,-106.18,455003,2092,-7
2022,1,7,20,30,66,971,530,61.48,36.33,-106.18,455003,2092,-7
2022,1,7,21,30,60,920,418,67.12,36.33,-106.18,455003,2092,-7
2022,1,7,22,30,49,812,259,75.02,36.33,-106.18,455003,2092,-7
2022,1,7,23,30,28,527,79,84.48,36.33,-106.18,455003,2092,-7
2022,1,8,0,30,0,0,0,95.22,36.33,-106.18,455003,2092,-7
2022,1,8,1,30,0,0,0,106.58,36.33,-106.18,455003,2092,-7
2022,1,8,2,30,0,0,0,118.39,36.33,-106.18,455003,2092,-7
2022,1,8,3,30,0,0,0,130.44,36.33,-106.18,455003,2092,-7
2022,1,8,4,30,0,0,0,142.45,36.33,-106.18,455003,2092,-7
2022,1,8,5,30,0,0,0,153.93,36.33,-106.18,455003,2092,-7
2022,1,8,6,30,0,0,0,163.3,36.33,-106.18,455003,2092,-7
2022,1,8,7,30,0,0,0,165.34,36.33,-106.18,455003,2092,-7
2022,1,8,8,30,0,0,0,157.89,36.33,-106.18,455003,2092,-7
2022,1,8,9,30,0,0,0,146.89,36.33,-106.18,455003,2092,-7
2022,1,8,10,30,0,0,0,134.99,36.33,-106.18,455003,2092,-7
2022,1,8,11,30,0,0,0,122.91,36.33,-106.18,455003,2092,-7
2022,1,8,12,30,0,0,0,110.98,36.33,-106.18,455003,2092,-7
2022,1,8,13,30,0,0,0,99.41,36.33,-106.18,455003,2092,-7
2022,1,8,14,30,13,2,13,88.21,36.33,-106.18,455003,2092,-7
2022,1,8,15,30,38,743,188,78.39,36.33,-106.18,455003,2092,-7
2022,1,8,16,30,59,839,349,69.8,36.33,-106.18,455003,2092,-7
